"County","2021","2022","2023","2024","2025,"2026","2027","2028","2029","2030"
KERN,2546.0295051957364,2585.0331342477875,2623.991439469508,2662.9044208608975,2701.7720784219564,2740.5944121526845,2779.371422053082,2818.1031081231777,2856.7894703629136,2895.430508772348,
KINGS,404.4463847944862,408.0690902341739,411.53151811129646,414.83366842585383,417.9755411777296,420.9571363670984,423.77845399378566,426.4394940579077,428.9402565594646,431.28074149839813,
LAKE,300.65247168927453,301.9728052713035,303.18106044325395,304.27723720509675,305.2613355567446,306.1333554983139,306.89329702974646,307.5411601510132,308.07694486220134,308.50065116325277,
LASSEN,97.65693063402432,96.42613843720756,95.08868948559393,93.64458377915435,92.0938213178888,90.43640210179728,88.67232613090891,86.80159340519458,84.82420392468339,82.74015768931713,
LOS ANGELES,21467.425880955532,21533.19362217374,21591.24742085673,21641.58727700077,21684.213190604,21719.12516167201,21746.323190201074,21765.80727619119,21777.577419646084,21781.63362056017,
MADERA,457.9384995389264,461.2480941794929,464.3537042957032,467.2553298874991,469.9529709549388,472.4466274980805,474.7362995168078,476.82198701112065,478.70368998113554,480.3814084266778,
MARIN,644.5576530897524,636.7269405003171,628.3009550129063,619.2796966272872,609.6631653441582,599.4513611628208,588.644284083508,577.2419341064524,565.2443112314213,552.6514154581819,
MARIPOSA,70.56867151775805,70.21722048420634,69.80709031052538,69.33828099665698,68.81079254263022,68.22462494847423,67.57977821414534,66.87625233967265,66.11404732502706,65.29316317023768,
MENDOCINO,299.2208909087349,296.13671035692096,292.69729602721054,288.9026479193708,284.75276603363454,280.2476503698854,275.3873009280069,270.1717177083483,264.6009007105604,258.67484993464313,
MERCED,769.9689934860216,777.2139644960407,784.1822705554077,790.8739116642391,797.2888878220692,803.4271990294801,809.2888452860061,814.8738265918801,820.1821429469856,825.213794351439,
MODOC,56.99752438478754,56.68751986823918,56.35170548399037,55.99008123205567,55.60264711242053,55.18940312509949,54.75034927007073,54.285485547356075,53.79481195694825,53.27832849884726,
